epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3964.28,0.82897,0.38988,1.06036,0.96452,0.9485,0.96738,0.73052,0.97427,0.40033,1.23635,0.0005941,0.0005941,0.0005941
43,4058.47,0.81972,0.39381,1.0575,0.95868,0.93985,0.96553,0.72576,0.97902,0.40846,1.23484,0.0005842,0.0005842,0.0005842
44,4151.28,0.80508,0.38493,1.04648,0.95602,0.94881,0.96567,0.73157,0.96932,0.39562,1.23974,0.0005743,0.0005743,0.0005743
45,4243.9,0.80958,0.38147,1.05031,0.94871,0.95081,0.96449,0.73263,0.95975,0.40439,1.23188,0.0005644,0.0005644,0.0005644
46,4336.41,0.80303,0.38227,1.04901,0.96302,0.9546,0.96739,0.72909,0.9681,0.39688,1.23633,0.0005545,0.0005545,0.0005545
47,4428.99,0.79018,0.37474,1.04092,0.95477,0.94348,0.96259,0.72736,0.95762,0.40231,1.23254,0.0005446,0.0005446,0.0005446
48,4521.42,0.78352,0.37158,1.03335,0.95339,0.95029,0.96799,0.73161,0.96481,0.39358,1.24047,0.0005347,0.0005347,0.0005347
49,4614.04,0.7775,0.37034,1.03799,0.96079,0.9448,0.96481,0.73114,0.96795,0.39101,1.23961,0.0005248,0.0005248,0.0005248
50,4706.52,0.76767,0.36021,1.02892,0.94308,0.95789,0.96795,0.72962,0.97084,0.38772,1.23952,0.0005149,0.0005149,0.0005149
51,4799.02,0.76389,0.36214,1.02709,0.95962,0.94564,0.96898,0.73241,0.96588,0.38673,1.24547,0.000505,0.000505,0.000505
52,4891.58,0.75388,0.35687,1.02524,0.95661,0.94716,0.96765,0.73207,0.96803,0.38747,1.24173,0.0004951,0.0004951,0.0004951
53,4984.17,0.7508,0.35867,1.02267,0.95458,0.94189,0.96623,0.7298,0.97773,0.39149,1.25387,0.0004852,0.0004852,0.0004852
54,5076.67,0.73659,0.34822,1.01439,0.96396,0.94067,0.96767,0.73234,0.96878,0.38677,1.24643,0.0004753,0.0004753,0.0004753
55,5169.29,0.73325,0.34489,1.01123,0.95257,0.95022,0.96768,0.73285,0.97079,0.38803,1.25274,0.0004654,0.0004654,0.0004654
56,5261.93,0.73255,0.35031,1.00948,0.96578,0.94645,0.96675,0.73126,0.96335,0.38879,1.24604,0.0004555,0.0004555,0.0004555
57,5354.44,0.72396,0.34219,1.00656,0.96017,0.93031,0.96571,0.72988,0.96145,0.39325,1.24499,0.0004456,0.0004456,0.0004456
58,5447.01,0.72275,0.3452,1.00894,0.96579,0.92731,0.96718,0.73027,0.97233,0.39369,1.25386,0.0004357,0.0004357,0.0004357
59,5539.62,0.71043,0.33701,0.99664,0.94717,0.95318,0.97036,0.73628,0.96744,0.38457,1.25831,0.0004258,0.0004258,0.0004258
60,5632.06,0.70205,0.33642,0.99402,0.95937,0.93945,0.96663,0.73302,0.96933,0.3844,1.26014,0.0004159,0.0004159,0.0004159
61,5724.54,0.69946,0.33148,0.99693,0.95211,0.94352,0.96606,0.7284,0.97551,0.39384,1.26704,0.000406,0.000406,0.000406
62,5817.17,0.68934,0.32994,0.98808,0.93814,0.95235,0.96692,0.73297,0.96167,0.39298,1.25659,0.0003961,0.0003961,0.0003961
63,5909.83,0.68573,0.32632,0.98854,0.94659,0.94879,0.96693,0.73546,0.95932,0.38442,1.25674,0.0003862,0.0003862,0.0003862
64,6002.37,0.6853,0.32609,0.98984,0.95121,0.94482,0.96868,0.73515,0.96584,0.39226,1.2608,0.0003763,0.0003763,0.0003763
65,6094.94,0.67626,0.32435,0.98476,0.95796,0.93885,0.96701,0.73122,0.97085,0.39726,1.26421,0.0003664,0.0003664,0.0003664
66,6187.74,0.67118,0.32005,0.98385,0.96234,0.94363,0.96734,0.73247,0.97098,0.39139,1.26491,0.0003565,0.0003565,0.0003565
67,6280.39,0.66017,0.31556,0.97473,0.96342,0.94147,0.96723,0.73164,0.96735,0.38829,1.26725,0.0003466,0.0003466,0.0003466
68,6373.14,0.65493,0.31194,0.9728,0.96065,0.94604,0.96659,0.73207,0.96826,0.38685,1.27241,0.0003367,0.0003367,0.0003367
